title,make,model,year,mileage_km,price_usd,fuel,gearbox,city,listing_date,url
Mercedes-Benz EQS 2023,Mercedes-Benz,EQS,2023,48000,56400,Електро,,Коломия,2026-06-20,https://auto.ria.com/uk/auto_mercedes-benz_eqs_38810182.html
Mercedes-Benz GLS-Class 2017,Mercedes-Benz,GLS-Class,2017,324000,40000,Дизель,Автомат,Зіньків (Полтавська),2026-06-17,https://auto.ria.com/uk/auto_mercedes-benz_gls-class_40030760.html
Rivian R1S 2022,Rivian,R1S,2022,50000,49900,Електро,,Одеса,,https://auto.ria.com/uk/auto_rivian_r1s_40057712.html
BMW 5 Series 2017,BMW,5,2017,127000,30999,Дизель,Автомат,Одеса,2026-06-28,https://auto.ria.com/uk/auto_bmw_5-series_40038219.html
Mercedes-Benz S-Class 2018,Mercedes-Benz,S-Class,2018,160000,40999,Бензин,Автомат,Київ,2026-06-24,https://auto.ria.com/uk/auto_mercedes-benz_s-class_40060986.html
Audi A6 2013,Audi,A6,2013,81000,20900,Дизель,Автомат,Київ,2026-06-20,https://auto.ria.com/uk/auto_audi_a6_38753871.html
Audi A6 2026,Audi,A6,2026,5000,64700,Гібрид,Робот,Кривий Ріг,2026-06-17,https://auto.ria.com/uk/auto_audi_a6_40029196.html
BMW X5 2015,BMW,X5,2015,187000,26000,Бензин,Автомат,Буча,2026-06-29,https://auto.ria.com/uk/auto_bmw_x5_40082177.html
BMW X5 2015,BMW,X5,2015,180000,25000,Бензин,Автомат,Вінниця,2026-06-14,https://auto.ria.com/uk/auto_bmw_x5_40015583.html
BMW X5 2021,BMW,X5,2021,125000,67999,Бензин,Автомат,Київ,2026-06-14,https://auto.ria.com/uk/auto_bmw_x5_40016512.html
Lexus ES 2017,Lexus,ES,2017,119000,22900,Бензин,Автомат,Київ,2026-06-27,https://auto.ria.com/uk/auto_lexus_es_40076410.html
Kia Sportage 2021,Kia,Sportage,2021,77000,18000,Бензин,Автомат,Харків,2026-06-27,https://auto.ria.com/uk/auto_kia_sportage_40077449.html
Kia Sportage 2020,Kia,Sportage,2020,176000,16500,Бензин,Автомат,Вінниця,2026-06-25,https://auto.ria.com/uk/auto_kia_sportage_40068204.html
Mercedes-Benz GLS-Class 2017,Mercedes-Benz,GLS-Class,2017,132000,37900,Бензин,Автомат,Миколаїв (Миколаївська),2026-06-28,https://auto.ria.com/uk/auto_mercedes-benz_gls-class_39295472.html
Mercedes-Benz GLE-Class 2023,Mercedes-Benz,GLE-Class,2023,28000,117999,Бензин,Автомат,Київ,2026-06-21,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_38792797.html
Volkswagen Passat 2023,Volkswagen,Passat,2023,194000,23100,Дизель,Автомат,Свалява,2026-06-17,https://auto.ria.com/uk/auto_volkswagen_passat_39895419.html
Volkswagen Passat 2022,Volkswagen,Passat,2022,221000,21500,Дизель,Автомат,Свалява,2026-06-17,https://auto.ria.com/uk/auto_volkswagen_passat_39887568.html
Volkswagen Passat 2018,Volkswagen,Passat,2018,249000,24700,Дизель,Автомат,Мукачево,2026-06-20,https://auto.ria.com/uk/auto_volkswagen_passat_40044882.html
Volkswagen Passat 2010,Volkswagen,Passat,2010,279000,6350,Дизель,Ручна / Механіка,Конотоп,,https://auto.ria.com/uk/auto_volkswagen_passat_39963032.html
Volkswagen Passat 2013,Volkswagen,Passat,2013,136000,8999,Бензин,,Галич,2026-06-24,https://auto.ria.com/uk/auto_volkswagen_passat_39328565.html
Volkswagen Passat 2014,Volkswagen,Passat,2014,300000,9400,Дизель,Ручна / Механіка,Київ,2026-06-27,https://auto.ria.com/uk/auto_volkswagen_passat_39424384.html
Tesla Model Y 2025,Tesla,Model,2025,14000,44500,Електро,,Чернівці (Чернівецька),2026-06-18,https://auto.ria.com/uk/auto_tesla_model-y_40017223.html
Volkswagen Passat 2009,Volkswagen,Passat,2009,318000,7750,Дизель,Автомат,Золочів (Львівська),2026-06-10,https://auto.ria.com/uk/auto_volkswagen_passat_39996606.html
Volkswagen Touareg 2013,Volkswagen,Touareg,2013,195000,16900,Дизель,Автомат,Одеса,,https://auto.ria.com/uk/auto_volkswagen_touareg_40052244.html
Audi Q7 2017,Audi,Q7,2017,172000,25700,Бензин,Автомат,Могилів-Подільський,2026-06-16,https://auto.ria.com/uk/auto_audi_q7_39890885.html
Audi Q7 2025,Audi,Q7,2025,21000,71000,Дизель,Автомат,Дніпро (Дніпропетровськ),2026-06-07,https://auto.ria.com/uk/auto_audi_q7_39563736.html
Audi Q7 2014,Audi,Q7,2014,96000,34000,Дизель,Автомат,Полтава,2026-06-15,https://auto.ria.com/uk/auto_audi_q7_39875434.html
Mercedes-Benz S-Class 2021,Mercedes-Benz,S-Class,2021,18000,93000,Гібрид,Автомат,Нововолинськ,2026-06-05,https://auto.ria.com/uk/auto_mercedes-benz_s-class_39855180.html
Volkswagen Touareg 2012,Volkswagen,Touareg,2012,265000,17400,Дизель,Автомат,Дніпро (Дніпропетровськ),2026-06-16,https://auto.ria.com/uk/auto_volkswagen_touareg_38511669.html
Volkswagen Touareg 2020,Volkswagen,Touareg,2020,45000,38000,Бензин,Автомат,Львів (Львівська),2026-06-24,https://auto.ria.com/uk/auto_volkswagen_touareg_40061340.html
